text,label
"Tiến sĩ Trần Thanh Vân cứu khoa học với 6 năm kinh nghiệm trong lĩnh vực Vật liệu. Tôi có chuyên môn về các vật liệu năng lượng tái tạo và đã công bố 11 bài báo trong các tạp chí quốc tế uy tín.",1
"Phó Giáo sư Tiến sĩ Lê Xuân Tùng với 10 năm kinh nghiệm trong lĩnh vực Y học. Tiến sỹ có chuyên môn về ung thư và đã tham gia nhiều dự án nghiên cứu liên quan đến phát triển thuốc mới, Tiến sỹ có tổng cộng 20 bài báo và 1 giải thưởng.",1
"Tiến sĩ Nguyễn Văn Minh học với 7 năm kinh nghiệm trong lĩnh vực Khoa học Môi trường. Tôi có chuyên môn về tác động của biến đổi khí hậu đến đa dạng sinh học và đã xuất bản 15 nghiên cứu về chủ đề này.",1
"Điều tra mới đây đã cho thấy rằng vi khuẩn có thể có ảnh hưởng tích cực đến sức khỏe của con người, giúp cải thiện hệ miễn dịch và tăng cường sức đề kháng.",0
"Việc đọc sách thường xuyên giúp cho trẻ em phát triển trí tuệ và tư duy phản biện, đồng thời giúp tăng cường khả năng ngôn ngữ và khả năng viết tốt hơn.",0
"Học nhạc giúp trẻ em phát triển khả năng trực quan, nhận thức âm nhạc và cải thiện kỹ năng giao tiếp, ngoài ra còn có tác dụng giải trí và thư giãn.",0
"Tập thể dục thường xuyên giúp tăng cường sức khỏe, giảm nguy cơ mắc các bệnh mãn tính và tăng cường khả năng tập trung, tăng cường khả năng thích nghi với môi trường.",0
"Nghệ thuật truyền thống đóng vai trò quan trọng trong việc bảo tồn và phát triển văn hóa, giúp con người hiểu rõ hơn về lịch sử và truyền thống của đất nước mình.",0
"Các thiết bị thông minh như điện thoại, máy tính bảng và đồng hồ thông minh đang trở thành một phần không thể thiếu trong cuộc sống của chúng ta, giúp tăng cường kết nối và hiệu quả công việc.",0
"Việc phát triển năng lượng tái tạo và sử dụng nguồn năng lượng xanh sẽ giúp giảm thiểu tác động của khí thải nhà kính và bảo vệ môi trường sống cho các loài sinh vật.",0
